Августа
Агата
Аглая
Агнесса
Агния
Аграфена
Аделина
Аза
Азалия
Аида
Аксинья
Алевтина
Александра
Александрина
Алёна
Алеся
Алика
Алина
Алиса
Алла
Альбина
Аля
Амалия
Анастасия
Ангелина
Андриана
Анетта
Анжела
Анжелика
Анжелина
Анисия
Анита
Анна
Антонина
Анфиса
Аполлинария
Ариадна
Ариана
Арина
Ася
Аэлита
Бажена
Бела
Божена
Болеслава
Валентина
Валерия
Ванесса
Варвара
Василиса
Васса
Вера
Вероника
Веста
Видана
Виктория
Вилена
Вильгельмина
Виолетта
Виталина
Влада
Владислава
Владлена
Габриэла
Галина
Ганна
Глафира
Глория
Грета
Дана
Даниела
Дарина
Дария
Даяна
Джулия
Диана
Дина
Доротея
Ева
Евгения
Евдокия
Евфрасия
Екатерина
Елена
Елизавета
Есения
Жанна
Забава
Зарина
Земфира
Зинаида
Злата
Златослава
Зоя
Иветта
Изабелла
Изольда
Илона
Инга
Инесса
Инна
Иоанна
Ирина
Ирма
Ия
Камилла
Капитолина
Карина
Каролина
Кира
Клавдия
Клара
Кристина
Ксения
Лада
Лайма
Лариса
Лаура
Леонида
Леонилла
Лиана
Лидия
Лика
Лилия
Лина
Линда
Лия
Лолита
Луиза
Любава
Любовь
Людмила
Люция
Майя
Маргарита
Марианна
Марина
Мария
Марта
Марфа
Мелитина
Милана
Милена
Милица
Милослава
Мира
Мириам
Мирослава
Мишель
Моника
Надежда
Нана
Настасья
Наталья
Нателла
Нелли
Неонила
Ника
Николь
Нина
Нонна
Нора
Оксана
Октябрина
Олеся
Оливия
Ольга
Патрисия
Полина
Прасковья
Радмила
Раиса
Ревекка
Регина
Рената
Римма
Роберта
Роза
Роксана
Руфина
Сабина
Сабрина
Сандра
Сара
Светлана
Святослава
Серафима
Сильвия
Симона
Сияна
Слада
Снежана
Софья
Станислава
Стелла
Сюзанна
Таисия
Тамара
Татьяна
Ульяна
Устинья
Фаина
Франциска
Эвелина
Элеонора
Элина
Элла
Эллина
Эльвира
Эльза
Эльмира
Эмилия
Эмма
Эрика
Эстер
Юлиания
Юлианна
Юлия
Юнона
Юстина
Яна
Ярослава
Яя
